symbol,interval,datetime,open,high,low,close,volume
BTCUSDT,1m,2025-06-06 20:00:00,104219.8,104252.99,104219.79,104252.99,7.64026
BTCUSDT,1m,2025-06-06 20:01:00,104252.98,104277.61,104252.98,104277.61,5.63155
BTCUSDT,1m,2025-06-06 20:02:00,104277.61,104277.61,104236.0,104236.01,8.2617
BTCUSDT,1m,2025-06-06 20:03:00,104236.01,104255.82,104225.18,104225.18,3.10502
BTCUSDT,1m,2025-06-06 20:04:00,104225.18,104246.06,104209.31,104209.31,4.54618
BTCUSDT,1m,2025-06-06 20:05:00,104209.3,104225.81,104193.87,104200.02,4.5308
BTCUSDT,1m,2025-06-06 20:06:00,104200.01,104200.02,104168.7,104176.22,7.43217
BTCUSDT,1m,2025-06-06 20:07:00,104176.22,104250.0,104167.98,104250.0,6.02684
BTCUSDT,1m,2025-06-06 20:08:00,104250.0,104256.72,104214.08,104214.09,4.02865
BTCUSDT,1m,2025-06-06 20:09:00,104214.09,104276.67,104214.08,104276.66,3.91921
BTCUSDT,1m,2025-06-06 20:10:00,104276.66,104348.84,104276.66,104339.35,6.61862
BTCUSDT,1m,2025-06-06 20:11:00,104339.35,104348.84,104336.67,104347.8,10.80454
BTCUSDT,1m,2025-06-06 20:12:00,104347.79,104386.15,104347.79,104386.14,13.7899
BTCUSDT,1m,2025-06-06 20:13:00,104386.15,104386.15,104326.06,104326.07,3.83863
BTCUSDT,1m,2025-06-06 20:14:00,104326.07,104326.07,104326.06,104326.07,1.14678
BTCUSDT,1m,2025-06-06 20:15:00,104326.06,104355.65,104320.84,104355.65,7.50636
BTCUSDT,1m,2025-06-06 20:16:00,104355.65,104410.8,104355.65,104403.31,7.4751
BTCUSDT,1m,2025-06-06 20:17:00,104403.32,104403.33,104381.62,104381.63,1.48089
BTCUSDT,1m,2025-06-06 20:18:00,104381.62,104381.62,104366.1,104369.95,13.16741
BTCUSDT,1m,2025-06-06 20:19:00,104369.96,104369.96,104348.83,104360.22,4.79709
BTCUSDT,1m,2025-06-06 20:20:00,104360.22,104381.82,104360.22,104381.81,6.21157
BTCUSDT,1m,2025-06-06 20:21:00,104381.82,104381.82,104367.82,104367.82,1.27112
BTCUSDT,1m,2025-06-06 20:22:00,104367.83,104420.0,104367.82,104419.99,5.72013
BTCUSDT,1m,2025-06-06 20:23:00,104419.99,104420.0,104360.4,104360.4,5.7393
BTCUSDT,1m,2025-06-06 20:24:00,104360.41,104360.41,104348.83,104360.32,2.75977
BTCUSDT,1m,2025-06-06 20:25:00,104360.33,104386.41,104360.32,104386.41,3.65056
BTCUSDT,1m,2025-06-06 20:26:00,104386.4,104395.35,104375.81,104395.35,2.77622
BTCUSDT,1m,2025-06-06 20:27:00,104395.34,104395.35,104377.85,104377.85,1.7888
BTCUSDT,1m,2025-06-06 20:28:00,104377.86,104377.86,104348.83,104369.7,7.56081
BTCUSDT,1m,2025-06-06 20:29:00,104369.69,104369.7,104357.09,104357.09,0.75081
BTCUSDT,1m,2025-06-06 20:30:00,104357.09,104357.1,104355.82,104355.83,2.2468
BTCUSDT,1m,2025-06-06 20:31:00,104355.82,104355.83,104351.89,104351.89,10.30225
BTCUSDT,1m,2025-06-06 20:32:00,104351.9,104351.9,104348.1,104348.83,4.13868
BTCUSDT,1m,2025-06-06 20:33:00,104348.83,104360.65,104348.83,104360.65,5.45526
BTCUSDT,1m,2025-06-06 20:34:00,104360.65,104360.65,104349.27,104349.27,4.31907
BTCUSDT,1m,2025-06-06 20:35:00,104349.28,104349.28,104311.09,104311.53,7.02126
BTCUSDT,1m,2025-06-06 20:36:00,104311.53,104311.53,104305.25,104309.42,1.94078
BTCUSDT,1m,2025-06-06 20:37:00,104309.43,104309.43,104305.37,104305.37,0.88463
BTCUSDT,1m,2025-06-06 20:38:00,104305.37,104305.38,104305.26,104305.27,2.28015
BTCUSDT,1m,2025-06-06 20:39:00,104305.28,104305.28,104305.27,104305.28,0.69059
BTCUSDT,1m,2025-06-06 20:40:00,104305.28,104317.01,104305.27,104317.0,6.67086
BTCUSDT,1m,2025-06-06 20:41:00,104317.0,104385.14,104317.0,104385.13,4.22947
BTCUSDT,1m,2025-06-06 20:42:00,104385.14,104571.83,104385.13,104559.84,20.95223
BTCUSDT,1m,2025-06-06 20:43:00,104559.83,104617.56,104559.83,104603.66,15.73976
BTCUSDT,1m,2025-06-06 20:44:00,104603.67,104603.67,104573.52,104578.75,4.33412
BTCUSDT,1m,2025-06-06 20:45:00,104578.76,104586.78,104569.04,104586.77,5.3795
BTCUSDT,1m,2025-06-06 20:46:00,104586.77,104595.71,104573.85,104573.85,3.51007
BTCUSDT,1m,2025-06-06 20:47:00,104573.86,104581.4,104570.07,104581.4,4.39868
BTCUSDT,1m,2025-06-06 20:48:00,104581.39,104592.36,104578.48,104578.48,3.52977
